run,epoch,accuracy,loss,val_accuracy,val_loss
0.0001,1,0.49693891406059265,1.409991979598999,0.7254738211631775,0.8863118886947632
0.0001,2,0.7623711824417114,0.7530668377876282,0.7913182973861694,0.6435464024543762
0.0001,3,0.8164551258087158,0.5865718722343445,0.8114548325538635,0.5805272459983826
0.0001,4,0.8397790193557739,0.5117647051811218,0.824345052242279,0.5402601361274719
0.0001,5,0.8545916080474854,0.46425309777259827,0.8232302069664001,0.5397377014160156
0.0001,6,0.8651336431503296,0.4272323548793793,0.8247631192207336,0.5400803685188293
0.0001,7,0.8734059929847717,0.4003293812274933,0.8246934413909912,0.5421862602233887
0.0001,8,0.8785127401351929,0.37924709916114807,0.8258779048919678,0.5403909683227539
0.0001,9,0.8860982656478882,0.35789626836776733,0.8311036825180054,0.5247582793235779
0.0001,10,0.8898611068725586,0.3425598442554474,0.8267837166786194,0.5526633262634277
0.0001,11,0.8925489187240601,0.3311353623867035,0.8271321058273315,0.5538104176521301
0.0001,12,0.8988203406333923,0.3171708583831787,0.8330546021461487,0.5317738056182861
0.0001,13,0.9012393355369568,0.30928173661231995,0.8313823938369751,0.540036141872406
0.0001,14,0.9031208157539368,0.3009871244430542,0.8244147300720215,0.5667986869812012
0.0001,15,0.9050918221473694,0.29145342111587524,0.828177273273468,0.5433695316314697
0.0001,16,0.9079886674880981,0.28588294982910156,0.8331242799758911,0.5508041977882385
0.0001,17,0.9104076623916626,0.277147114276886,0.8325669169425964,0.5413698554039001
0.0001,18,0.912617564201355,0.2733846604824066,0.8323578834533691,0.5444990396499634
0.0001,19,0.9127072095870972,0.265999972820282,0.829919159412384,0.5603801012039185
0.0001,20,0.9175152778625488,0.26048770546913147,0.8287346959114075,0.5826584696769714
0.001,1,0.7320889830589294,0.7949700355529785,0.8330546021461487,0.5100292563438416
0.001,2,0.8529490828514099,0.45741814374923706,0.8400919437408447,0.4872816801071167
0.001,3,0.8751381039619446,0.3873448669910431,0.8421822786331177,0.473793089389801
0.001,4,0.8879498243331909,0.34349724650382996,0.8317307829856873,0.5376390218734741
0.001,5,0.8964013457298279,0.31605371832847595,0.8381410241127014,0.519457995891571
